,name,calories,total_fat,protein,carbohydrate
8403,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, eye of round steak, round",163,4.8g,29.79 g,0.00 g
8404,"Lamb, braised, cooked, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",357,26g,28.21 g,0.00 g
8405,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",221,10g,32.10 g,0.00 g
8406,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",128,4g,23.04 g,0.00 g
8407,"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",168,4.8g,29.08 g,0.00 g
8408,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye roast",218,12g,28.21 g,0.00 g
8409,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, under blade steak, chuck",261,16g,29.18 g,0.00 g
8410,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, under blade steak, chuck",284,19g,27.60 g,0.00 g
8411,"Lamb, slow roasted, cooked, separable lean and fat, boneless, rolled, netted shoulder, imported, New Zealand",287,22g,21.45 g,0.05 g
8412,"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, center slice, leg, fresh, imported, Australian",143,6.1g,20.65 g,0.00 g
8413,"Fruit cocktail, solids and liquids, light syrup, canned, (peach and pineapple and pear and grape and cherry)",57,0.1g,0.40 g,14.93 g
8414,"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",171,5.4g,30.58 g,0.00 g
8415,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top loin petite roast",195,8.8g,28.33 g,0.82 g
8416,"Yogurt, fortified with vitamin D, sweetened with low-calorie sweetener, nonfat milk, vanilla or lemon flavor",43,0.2g,3.86 g,7.50 g
8417,"Lamb, roasted, cooked, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",246,16g,24.81 g,0.00 g
8418,"Pork, pan-broiled, cooked, with added solution, separable lean only, boneless, top loin (chops), loin, fresh",169,5g,28.95 g,0.00 g
8419,"Beef, raw, separable lean and fat, boneless, ribeye steak/roast lip-on, rib, grass-fed, imported, Australian",217,15g,19.80 g,0.11 g
8420,"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",207,11g,27.97 g,0.00 g
8421,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",225,11g,32.21 g,0.00 g
8422,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",211,9.3g,31.86 g,0.00 g
8423,"Beef, broiled, cooked, USDA choice, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",283,20g,23.61 g,0.00 g
8424,"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",267,18g,24.47 g,0.00 g
8425,"Fruit cocktail, solids and liquids, heavy syrup, canned, (peach and pineapple and pear and grape and cherry)",73,0.1g,0.39 g,18.91 g
8426,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",220,12g,27.51 g,0.00 g
8427,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",194,9.3g,27.70 g,0.00 g
8428,"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, frozen, imported, New Zealand",258,16g,26.97 g,0.00 g
8429,"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak",221,12g,27.40 g,0.00 g
8430,"Beverages, prepared with water and ice, powder, with aspartame, reduced calorie, chocolate, dairy drink mix",29,0.2g,2.19 g,4.51 g
8431,"Fruit salad, solids and liquids, heavy syrup, canned, tropical, (pineapple and papaya and banana and guava)",86,0.1g,0.41 g,22.36 g
8432,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",276,19g,23.96 g,0.00 g
8433,"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",273,19g,24.83 g,0.00 g
8434,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",303,24g,22.92 g,0.00 g
8435,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",303,23g,23.92 g,0.00 g
8436,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",211,11g,26.05 g,0.00 g
8437,"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",162,3.8g,30.09 g,0.00 g
8438,"Infant formula, with DHA and ARA, not reconstituted, powder, with iron, ALIMENTUM ADVANCE, ABBOTT NUTRITION",517,28g,13.99 g,51.91 g
8439,"Fruit cocktail, solids and liquids, juice pack, canned, (peach and pineapple and pear and grape and cherry)",46,0g,0.46 g,11.86 g
8440,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",142,5.5g,21.59 g,0.00 g
8441,"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",206,10g,28.11 g,0.00 g
8442,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",291,20g,27.03 g,0.00 g
8443,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",268,17g,28.65 g,0.00 g
8444,"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",291,20g,25.85 g,0.00 g
8445,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",341,27g,22.54 g,0.00 g
8446,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",188,8.1g,26.88 g,0.00 g
8447,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",162,5.3g,26.61 g,0.00 g
8448,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye roast",231,14g,27.12 g,0.00 g
8449,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",177,7.5g,27.51 g,0.00 g
8450,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",162,3.8g,30.09 g,0.00 g
8451,"Beef, grilled, cooked, all grades,  trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",213,10g,28.16 g,0.00 g
8452,"Fruit salad, solids and liquids, light syrup, canned, (peach and pear and apricot and pineapple and cherry)",58,0.1g,0.34 g,15.14 g
8453,"Fruit salad, solids and liquids, heavy syrup, canned, (peach and pear and apricot and pineapple and cherry)",73,0.1g,0.34 g,19.11 g
8454,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",213,11g,27.10 g,0.90 g
8455,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",239,14g,26.80 g,1.10 g
8456,"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin steak, loin",198,8.3g,30.70 g,0.00 g
8457,"Pork, broiled, cooked, with added solution, separable lean and fat, boneless, top loin (chops), loin, fresh",198,9.4g,28.33 g,0.02 g
8458,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",277,20g,24.85 g,0.00 g
8459,"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, trotter off, leg, fresh, imported, Australian",131,4.3g,23.11 g,0.00 g
8460,"Lamb, cooked, choice, trimmed to 1/4"" fat, separable lean only, composite of trimmed retail cuts, domestic",206,9.5g,28.22 g,0.00 g
8461,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",267,22g,16.88 g,0.00 g
8462,"Beef, raw, separable lean and fat, boneless, tenderloin steak/roast, loin, grass-fed, imported, Australian",151,7.6g,20.53 g,0.01 g
8463,"Beef, raw, separable lean only, boneless, bottom round steak/roast, round, grass-fed, imported, Australian",130,4.9g,21.40 g,0.00 g
8464,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",166,4.3g,29.94 g,0.00 g
8465,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye roast",290,22g,23.36 g,0.00 g
8466,"Beef, raw, select, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",133,5.7g,20.52 g,0.00 g
8467,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",139,6.2g,20.67 g,0.00 g
8468,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, bottom round, round",218,12g,26.41 g,0.00 g
8469,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, eye of round, round",208,9.7g,28.31 g,0.00 g
8470,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",145,6.5g,21.19 g,0.39 g
8471,"Margarine, stick, soybean and partially hydrogenated soybean, 70% fat, margarine-type vegetable oil spread",628,70g,0.26 g,1.53 g
8472,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",223,11g,30.64 g,0.00 g
8473,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, inside skirt, boneless, plate steak",242,14g,29.56 g,0.00 g
8474,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round roast, round",157,3.4g,29.52 g,0.00 g
8475,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",243,19g,17.54 g,0.00 g
8476,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",217,11g,27.48 g,0.00 g
8477,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",157,3.7g,30.97 g,0.00 g
8478,"Fruit salad, solids and liquids, water pack, canned, (peach and pear and apricot and pineapple and cherry)",30,0.1g,0.35 g,7.87 g
8479,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",217,9.7g,30.21 g,0.00 g
8480,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin steak, loin",202,7.7g,30.93 g,0.00 g
8481,"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, fresh, imported, Australian",236,14g,24.78 g,0.00 g
8482,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye roast",307,24g,23.53 g,0.00 g
8483,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak",313,25g,22.71 g,0.00 g
8484,"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak",304,23g,23.19 g,0.00 g
8485,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",162,3.9g,29.70 g,0.00 g
8486,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round steak, round",170,4.6g,30.12 g,0.00 g
8487,"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",206,9.4g,28.45 g,0.00 g
8488,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",134,5.4g,21.03 g,0.19 g
8489,"Infant formula, with ARA and DHA, liquid concentrate, (LACTOSE FREE), SENSITIVE, SIMILAC, ABBOTT NUTRITION",128,7g,2.73 g,13.64 g
8490,"Fruit salad, solids and liquids, juice pack, canned, (peach and pear and apricot and pineapple and cherry)",50,0g,0.51 g,13.05 g
8491,"Gelatin desserts, vitamin C, sodium, potassium, added phosphorus, with aspartame, reduced calorie, dry mix",345,0g,55.30 g,33.30 g
8492,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast",204,8.9g,31.03 g,0.00 g
8493,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",248,16g,26.29 g,0.00 g
8494,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",285,21g,23.89 g,0.00 g
8495,"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, bottom, leg, fresh, imported, Australian",187,11g,20.97 g,0.00 g
8496,"Lamb, braised, cooked, separable lean only, whole (arm and blade), shoulder, frozen, imported, New Zealand",285,16g,34.06 g,0.00 g
8497,"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), eye, rib",265,17g,26.58 g,0.00 g
8498,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",247,12g,32.76 g,0.00 g
8499,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, top loin steak, loin",199,13g,21.29 g,0.00 g
8500,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",158,4.3g,29.94 g,0.00 g
8501,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",149,3.4g,29.52 g,0.00 g
8502,"Beverages, added calcium, high vitamin C, greater than 3% fruit juice, reduced sugar, Fruit flavored drink",29,0.4g,0.00 g,6.67 g
8503,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",163,4.8g,30.08 g,0.00 g
8504,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin roast, loin",188,8.8g,27.26 g,0.00 g
8505,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, tenderloin roast, loin",174,7.1g,27.38 g,0.00 g
8506,"Lamb, slow roasted, cooked, separable lean only, boneless, rolled, netted shoulder, imported, New Zealand",199,11g,25.14 g,0.00 g
8507,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",222,11g,30.91 g,0.00 g
8508,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",215,9.7g,32.01 g,0.00 g
8509,"Beef, raw, separable lean only, boneless, ribeye steak/roast lip-on, rib, grass-fed, imported, Australian",160,8.2g,21.47 g,0.00 g
8510,"Beverages, prepared with whole milk, with added nutrients, powder, chocolate-flavor beverage mix for milk",89,3.2g,3.27 g,11.87 g
8511,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast/filet",187,11g,21.10 g,0.30 g
8512,"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib eye",234,13g,27.95 g,0.00 g
8513,"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, tenderloin, fresh, imported, Australian",143,5.5g,23.23 g,0.00 g
8514,"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",263,17g,26.21 g,0.00 g
8515,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",187,8.3g,27.96 g,0.00 g
8516,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",202,9.8g,28.28 g,0.00 g
8517,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",264,21g,16.58 g,0.00 g
8518,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",244,19g,17.07 g,0.00 g
8519,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",163,8.2g,22.43 g,0.00 g
8520,"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",181,5.4g,32.96 g,0.00 g
8521,"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",197,6.9g,33.55 g,0.00 g
8522,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib",249,15g,27.27 g,0.00 g
8523,"Lamb, roasted, cooked, separable lean only, whole (shank and sirloin), leg, frozen, imported, New Zealand",181,7g,27.68 g,0.00 g
8524,"Lamb, raw, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",134,5.3g,20.21 g,0.00 g
8525,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",191,12g,19.90 g,0.00 g
8526,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",284,20g,24.85 g,0.00 g
8527,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak/roast",244,19g,18.85 g,0.00 g
8528,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",174,5.7g,28.79 g,0.00 g
8529,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",160,3.9g,29.24 g,0.00 g
8530,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",132,4.4g,23.03 g,0.00 g
8531,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",122,3.4g,23.05 g,0.00 g
8532,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",355,29g,23.01 g,0.00 g
8533,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, short ribs, chuck",305,23g,25.48 g,0.00 g
8534,"Beef, raw, separable lean and fat, boneless, top loin steak/roast, loin, grass-fed, imported, Australian",199,13g,19.90 g,0.11 g
8535,"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",209,14g,18.47 g,0.00 g
8536,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",205,14g,18.97 g,0.00 g
8537,"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, top loin, short loin",189,7.1g,29.30 g,0.00 g
8538,"Turkey sausage, cooked (include BUTTERBALL breakfast links turkey sausage), brown and serve, reduced fat",204,10g,17.00 g,10.92 g
8539,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak/roast",255,20g,18.13 g,0.00 g
8540,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, roast, bottom round, round",187,7.7g,27.42 g,0.00 g
8541,"Pork, broiled, cooked, with added solution, separable lean only, boneless, top loin (chops), loin, fresh",170,5.7g,29.65 g,0.00 g
8542,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, outside skirt steak, plate",255,17g,23.51 g,0.00 g
8543,"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin",289,20g,24.60 g,0.00 g
8544,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",165,4.7g,30.78 g,0.00 g
8545,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top sirloin filet, loin",174,5.8g,30.45 g,0.00 g
8546,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean only, boneless, top loin petite roast",206,10g,28.24 g,0.88 g
8547,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean only, boneless, top loin petite roast",179,7g,28.48 g,0.74 g
8548,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye petite roast",178,7.3g,28.15 g,0.00 g
8549,"Beverages, added vitamin C, with low-calorie sweetener, reduced calorie, Vegetable and fruit juice drink",4,0g,0.00 g,1.10 g
8550,"Beverages, frozen concentrate. Not manufactured anymore., with pulp, breakfast type, Orange-flavor drink",172,0.5g,0.10 g,42.90 g
8551,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean and fat, whole (shank and sirloin), leg, domestic",230,17g,17.91 g,0.00 g
8552,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye roast",229,13g,27.87 g,0.00 g
8553,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye roast",202,9.7g,28.72 g,0.00 g
8554,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, round",223,8.9g,33.56 g,0.00 g
8555,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",217,12g,27.30 g,0.00 g
8556,"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, small end (ribs 10-12), rib",195,7.6g,29.58 g,0.00 g
8557,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, porterhouse steak, short loin",212,11g,26.07 g,0.00 g
8558,"Beverages, mineral bottled water, naturally sparkling, GEROLSTEINER BRUNNEN GmbH & Co. KG (Gerolsteiner)",0,0g,0.00 g,0.00 g
8559,"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin filet",239,14g,27.40 g,0.60 g
8560,"Rice bowl with chicken, prepared (includes fried, teriyaki, and sweet and sour varieties), frozen entree",126,1.6g,5.65 g,22.46 g
8561,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",176,11g,18.99 g,0.00 g
8562,"Lamb, raw, trimmed to 1/8"" fat, separable lean only, boneless, bottom, leg, fresh, imported, Australian",136,5.2g,22.28 g,0.00 g
8563,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, sirloin half, leg, domestic",292,21g,24.63 g,0.00 g
8564,"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, mock tender steak, chuck",159,5.2g,26.08 g,0.00 g
8565,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak",229,13g,27.03 g,0.00 g
8566,"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak",210,11g,27.96 g,0.00 g
8567,"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, composite of trimmed retail cuts, domestic",134,5.3g,20.29 g,0.00 g
8568,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",191,8.3g,29.18 g,0.00 g
8569,"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, sirloin half, leg, domestic",284,20g,24.95 g,0.00 g
8570,"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, t-bone steak, short loin",230,14g,24.38 g,0.00 g
8571,"Beef, broiled, cooked, USDA choice, trimmed to 0"" fat, separable lean and fat, t-bone steak, short loin",258,17g,24.05 g,0.00 g
8572,"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, tip round, round",219,11g,27.45 g,0.00 g
8573,"Cereals, without salt, prepared (microwaved or boiling water added), plain, instant, corn grits, QUAKER",74,0.5g,1.58 g,15.95 g
8574,"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean only, steak, bottom round, round",216,7.7g,34.34 g,0.00 g
8575,"Beef, raw, separable lean only, boneless, tenderloin steak/roast, loin, grass-fed, imported, Australian",138,6.1g,20.85 g,0.00 g
8576,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",221,12g,25.66 g,0.00 g
8577,"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, tri-tip roast, bottom sirloin",201,9.8g,26.44 g,0.00 g
8578,"Beef, broiled, cooked, select, trimmed to 0"" fat, small end (ribs 10- 12) separable lean only, eye, rib",182,6.1g,29.93 g,0.00 g
8579,"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",158,3.4g,29.81 g,0.00 g
8580,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",166,4.1g,30.24 g,0.00 g
8581,"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, steak, top loin, short loin",278,18g,26.16 g,0.00 g
8582,"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, inside skirt steak, plate",220,12g,26.13 g,0.00 g
8583,"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast or steak",130,5g,21.39 g,0.00 g
8584,"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",215,12g,27.39 g,0.00 g
8585,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",323,25g,22.76 g,0.00 g
8586,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",359,29g,22.28 g,0.00 g
8587,"Beef, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",304,22g,24.53 g,0.00 g
8588,"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",278,18g,27.17 g,0.00 g
8589,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",150,6.6g,21.24 g,0.00 g
8590,"Beef, broiled, cooked, USDA choice, trimmed to 0"" fat, separable lean and fat, mock tender steak, chuck",161,5.7g,25.73 g,0.00 g
8591,"Chicken, braised, cooked, with added solution, meat only, boneless, skinless, breast, broiler or fryers",145,3.6g,28.24 g,0.00 g
8592,"Chicken, grilled, cooked, with added solution, meat only, boneless, skinless, breast, broiler or fryers",148,3.4g,29.50 g,0.00 g
8593,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",196,7.8g,31.48 g,0.00 g
8594,"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, loin, frozen, imported, New Zealand",296,21g,24.41 g,0.00 g
8595,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye roast",219,12g,27.03 g,0.00 g
8596,"Beef, roasted, cooked, select, trimmed to 0"" fat, boneless, separable lean only, tenderloin roast, loin",169,6.5g,27.55 g,0.00 g
8597,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",183,8.1g,27.48 g,0.00 g
8598,"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",158,4.1g,30.24 g,0.06 g
8599,"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye roast",240,15g,27.18 g,0.00 g
8600,"Beef, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",259,17g,26.11 g,0.00 g
8601,"Pork, cooked, separable lean and fat, composite of trimmed retail cuts (loin and shoulder blade), fresh",235,14g,26.07 g,0.00 g
